,0,IP
"('10026_72',)",126,"('10026_72',)"
"('10042_20',)",126,"('10042_20',)"
"('10299_52',)",126,"('10299_52',)"
"('10045_125',)",126,"('10045_125',)"
"('10796_252',)",126,"('10796_252',)"
"('13090_16',)",126,"('13090_16',)"
"('10030_137',)",126,"('10030_137',)"
"('10030_137', '192.168.210.49')",126,"('10030_137', '192.168.210.49')"
"('13416_84',)",126,"('13416_84',)"
"('10088_143',)",126,"('10088_143',)"
"('14594_192',)",126,"('14594_192',)"
"('14594_192', '192.168.220.51')",126,"('14594_192', '192.168.220.51')"
"('10015_4',)",127,"('10015_4',)"
"('10856_104',)",127,"('10856_104',)"
"('11312_162',)",127,"('11312_162',)"
"('12296_202',)",127,"('12296_202',)"
"('13002_34',)",127,"('13002_34',)"
"('11078_209',)",128,"('11078_209',)"
"('10009_3',)",128,"('10009_3',)"
"('11385_3',)",128,"('11385_3',)"
"('11490_59',)",128,"('11490_59',)"
"('10759_43',)",128,"('10759_43',)"
"('10759_43', '192.168.220.47')",128,"('10759_43', '192.168.220.47')"
"('11770_181',)",128,"('11770_181',)"
"('12463_70',)",128,"('12463_70',)"
"('10718_220',)",128,"('10718_220',)"
"('13036_29',)",128,"('13036_29',)"
"('13085_24',)",128,"('13085_24',)"
"('13085_24', '192.168.220.49')",128,"('13085_24', '192.168.220.49')"
"('10343_28',)",128,"('10343_28',)"
"('13241_173',)",128,"('13241_173',)"
"('13864_52',)",128,"('13864_52',)"
"('14154_89',)",128,"('14154_89',)"
"('14154_89', '192.168.210.54')",128,"('14154_89', '192.168.210.54')"
"('14155_88',)",128,"('14155_88',)"
"('14155_88', '192.168.210.54')",128,"('14155_88', '192.168.210.54')"
"('10708_220',)",128,"('10708_220',)"
"('10708_220', '192.168.220.43')",128,"('10708_220', '192.168.220.43')"
"('10718_148',)",128,"('10718_148',)"
"('11021_172',)",129,"('11021_172',)"
"('11237_57',)",129,"('11237_57',)"
"('11513_244',)",129,"('11513_244',)"
"('11513_244', '192.168.220.47')",129,"('11513_244', '192.168.220.47')"
"('11550_196',)",129,"('11550_196',)"
"('12164_94',)",129,"('12164_94',)"
