,IP_B,confidence,IP_A
"('12690_174',)","('192.168.210.53',)",1.0,"('12690_174',)"
"('12936_6',)","('192.168.220.42',)",1.0,"('12936_6',)"
"('12975_117',)","('192.168.220.50',)",1.0,"('12975_117',)"
"('13069_51',)","('192.168.220.47',)",1.0,"('13069_51',)"
"('13652_248',)","('192.168.220.47',)",1.0,"('13652_248',)"
"('14005_109',)","('192.168.220.51',)",1.0,"('14005_109',)"
"('14089_68',)","('192.168.210.47',)",1.0,"('14089_68',)"
"('14313_137',)","('192.168.220.51',)",1.0,"('14313_137',)"
"('14417_67',)","('192.168.220.51',)",1.0,"('14417_67',)"
"('14454_110',)","('192.168.220.47',)",1.0,"('14454_110',)"
"('12972_123',)","('192.168.210.54',)",1.0,"('12972_123',)"
"('10442_231',)","('192.168.210.54',)",1.0,"('10442_231',)"
"('10992_178',)","('192.168.220.47',)",1.0,"('10992_178',)"
"('11166_109',)","('192.168.210.55',)",1.0,"('11166_109',)"
"('11231_178',)","('192.168.210.56',)",1.0,"('11231_178',)"
"('11275_44',)","('192.168.220.50',)",1.0,"('11275_44',)"
"('11527_100',)","('192.168.220.50',)",1.0,"('11527_100',)"
"('11652_69',)","('192.168.210.48',)",1.0,"('11652_69',)"
"('10379_213',)","('192.168.220.43',)",1.0,"('10379_213',)"
"('11192_163',)","('192.168.220.51',)",1.0,"('11192_163',)"
"('11854_182',)","('192.168.220.49',)",1.0,"('11854_182',)"
"('12060_97',)","('192.168.220.47',)",1.0,"('12060_97',)"
"('12128_22',)","('192.168.220.42',)",1.0,"('12128_22',)"
"('11079_160',)","('192.168.220.51',)",1.0,"('11079_160',)"
"('12173_176',)","('192.168.220.51',)",1.0,"('12173_176',)"
"('11305_56',)","('192.168.220.46',)",1.0,"('11305_56',)"
"('10299_50',)","('192.168.220.51',)",1.0,"('10299_50',)"
"('12366_163',)","('192.168.220.51',)",1.0,"('12366_163',)"
"('12426_132',)","('192.168.210.53',)",1.0,"('12426_132',)"
"('12587_58',)","('192.168.220.51',)",1.0,"('12587_58',)"
"('12608_178',)","('192.168.220.48',)",1.0,"('12608_178',)"
"('12686_219',)","('192.168.220.48',)",1.0,"('12686_219',)"
"('10131_244',)","('192.168.210.54',)",1.0,"('10131_244',)"
"('10878_11',)","('192.168.210.54',)",1.0,"('10878_11',)"
"('12790_39',)","('192.168.210.45',)",1.0,"('12790_39',)"
"('10045_152',)","('192.168.220.51',)",1.0,"('10045_152',)"
"('12877_151',)","('192.168.210.47',)",1.0,"('12877_151',)"
"('12916_236',)","('192.168.220.47',)",1.0,"('12916_236',)"
"('12980_188',)","('192.168.220.50',)",1.0,"('12980_188',)"
"('12981_236',)","('192.168.220.50',)",1.0,"('12981_236',)"
"('11192_171',)","('192.168.210.47',)",1.0,"('11192_171',)"
"('13063_138',)","('192.168.220.48',)",1.0,"('13063_138',)"
"('11729_75',)","('192.168.220.51',)",1.0,"('11729_75',)"
"('12686_229',)","('192.168.220.42',)",1.0,"('12686_229',)"
"('10067_61',)","('192.168.210.47',)",1.0,"('10067_61',)"
"('13304_60',)","('192.168.220.47',)",1.0,"('13304_60',)"
"('13364_4',)","('192.168.220.49',)",1.0,"('13364_4',)"
